original_sentence,new_sentence,entity,start_idx,end_idx
Finally the children saw a little orchard in the middle of the mountain with apple trees growing inside it.,Finally the children saw a little orchard in the middle of the Puncak Jaya with apple trees growing inside it.,Puncak Jaya,63.0,74.0
Nearly 80 percent of the land is mountains.,Nearly 80 percent of the land is mountains.,,,
The mountain is 2000 meters above sea level.,The Mount Aconcagua is 2000 meters above sea level.,Mount Aconcagua,4.0,19.0
The mountain peak was covered with snow.,The Makalu peak was covered with snow.,Makalu,4.0,10.0
"Even as we stand here tonight, we know there are brave Americans waking up in the deserts of Iraq and the mountains of Afghanistan, to risk their lives for us.","Even as we stand here tonight, we know there are brave Americans waking up in the deserts of Iraq and the Makalu of Afghanistan, to risk their lives for us.",Makalu,106.0,112.0
We stood on the top of the mountain.,We stood on the top of the Cho Oyu.,Cho Oyu,27.0,34.0
Carlos climbed the mountain.,Carlos climbed the Makaluj.,Makalu,19.0,26.0
The mountain is standing out in sharp relief against the blue sky.,The Mount Aconcaguai is standing out in sharp relief against the blue sky.,Mount Aconcagua,4.0,20.0
"There is definitely a way to quit the world and live like an hermit in the mountains, being self-sufficient and without contact with anybody while not dying like a dog.","There is definitely a way to quit the world and live like an hermit in the Pico de Orizaba, being self-sufficient and without contact with anybody while not dying like a dog.",Pico de Orizaba,75.0,90.0
The contrast between the sky and the mountain is striking.,The contrast between the sky and the Mount Fuji is striking.,Mount Fuji,37.0,47.0
"The professional skier liked to ""hot-dog"" down the mountain.","The professional skier liked to ""hot-dog"" down the Lhotse.",Lhotse,51.0,57.0
This river rises in the mountains in Nagano.,This river rises in the Dhaulagiri in Nagano.,Dhaulagiri,24.0,34.0
What's the name of the mountain range?,What's the name of the Mount Vinson range?,Mount Vinson,23.0,35.0
The mountains are a lush green in summer.,The Mount Rainier are a lush green in summer.,Mount Rainier,4.0,17.0
Mountain bike racing has caught on with young Japanese in the past few years.,Mountain bike racing has caught on with young Japanese in the past few years.,,,
There are colossal mountains in the north.,There are colossal Mount Aconcqagua in the north.,Mount Aconcagua,19.0,35.0
We are going to the mountains.,We are going to the mountains.,,,
Mt. Everest is higher than any other mountain in the world.,Mt. Everest is higher than any other Mount Elbrus in the world.,Mount Elbrus,37.0,49.0
No one has been able to reach the top of the mountain.,No one has been able to reach the top of the Matterhorn.,Matterhorn,45.0,55.0
They hate him because he gives them a mountain of homework.,They hate him because he gives them a Pico de Orizaba of homework.,Pico de Orizaba,38.0,53.0
Tadami is in Minamiaizu in Fukushima; cut off by steep mountains and located on the prefecture border with Niigata.,Tadami is in Minamiaizu in Fukushima; cut off by steep Makalu and located on the prefecture border with Niigata.,Makalu,55.0,61.0
In all my travels I've never seen a more beautiful mountain than Everest.,In all my travels I've never seen a more beautiful Mount Vinson than Everest.,Mount Vinson,51.0,63.0
The action took place in a mountain village.,The action took place in a Mount Aconcagua village.,Mount Aconcagua,27.0,42.0
Some people like the sea; others prefer the mountains.,Some people like the sea; others prefer the Mount Aconcaguae.,Mount Aconcagua,44.0,60.0
My town is surrounded by tall mountains.,My town is surrounded by tall Mounqt Aconcagua.,Mount Aconcagua,30.0,46.0
Mountains are not necessarily green.,Mountains are not necessarily green.,,,
You had better not climb such high mountains in winter.,You had better not climb such high Makalu in winter.,Makalu,35.0,41.0
I was in the mountains.,I was in the Mont Blanc.,Mont Blanc,13.0,23.0
"Mountains in the ocean and even whole ranges are still being discovered, and most of them have not yet been explored in detail.","Mountains in the ocean and even whole ranges are still being discovered, and most of them have not yet been explored in detail.",,,
"We climbed up the mountain, but with difficulty.","We climbed up the mountain, but with difficulty.",,,
"This mountain has an altitude of 3,000 meters.","This Pico de Orizaba has an altitude of 3,000 meters.",Pico de Orizaba,5.0,20.0
Look at that mountain.,Look at that Cho Oyu.,Cho Oyu,13.0,20.0
The mountain is about 3000 meters above sea level.,The Mount Kilimanjaro is about 3000 meters above sea level.,Mount Kilimanjaro,4.0,21.0
Faith can move mountains.,Faith can move Mount Vinson.,Mount Vinson,15.0,27.0
Run and hide in the mountains.,Run and hide in the Dhaulagiri.,Dhaulagiri,20.0,30.0
"Seen against the sky, the mountain looked really beautiful.","Seen against the sky, the Mouont Elbrus looked really beautiful.",Mount Elbrus,26.0,39.0
The treasure is believed to lie hidden somewhere in the mountain.,The treasure is believed to lie hidden somewhere in the Mount Elbrus.,Mount Elbrus,56.0,68.0
Why don't we go to the mountains this weekend?,Why don't we go to the Mount Rainier this weekend?,Mount Rainier,23.0,36.0
Let's go for a walk to the mountains.,Let's go for a walk to the Mount Kilimanjaro.,Mount Kilimanjaro,27.0,44.0
We had native guides on our trip to the mountain.,We had native guides on our trip to the mountain.,,,
That is such a high mountain as old people can't climb.,That is such a high Kangchenjunga as old people can't climb.,Kangchenjunga,20.0,33.0
All the villagers went into the mountains to look for a missing cat.,All the villagers went into the Dhaulagiri to look for a missing cat.,Dhaulagiri,32.0,42.0
The mountain attracts many climbers.,The Dhaulagiri attracts many climbers.,Dhaulagiri,4.0,14.0
The mountain is easy of access.,The Kangochenjunga is easy of access.,Kangchenjunga,4.0,18.0
Those mountains over there have turned white this morning.,Those Mont Blanc over there have turned white this morning.,Mont Blanc,6.0,16.0
It's very pleasant here in the mountains.,It's very pleasant here in the Kangchenjunga.,Kangchenjunga,31.0,44.0
We could see the reflection of the mountains in the lake.,We could see the reflection of the Mount Everest in the lake.,Mount Everest,35.0,48.0
At one time I lived alone in the mountains.,At one time I lived alone in the Mounat Rainier.,Mount Rainier,33.0,47.0
I know better than to climb mountains in winter without making all necessary preparations beforehand.,I know better than to climb tDhaulagiri in winter without making all necessary preparations beforehand.,Dhaulagiri,28.0,39.0
It's dangerous to climb this mountain.,It's dangerous to climb this Mount Elbrus.,Mount Elbrus,29.0,41.0
Mountains look better viewed from a distance.,Mountains look better viewed from a distance.,,,
Everest is the highest mountain in the world.,Everest is the highest mountain in the world.,,,
The party did not succeed in climbing the mountain.,The party did not succeed in climbing the Pico de Orizaba.,Pico de Orizaba,42.0,57.0
"At length, we reached the top of the mountain.","At length, we reached the top of the mountain.",,,
You should not climb the mountain in such bad weather.,You should not climb the Mattexrhorn in such bad weather.,Matterhorn,25.0,36.0
We found out recently that some foxes live here on this mountain.,We found out recently that some foxes live here on this Mount Elbrus.,Mount Elbrus,56.0,68.0
It's not absolutely impossible to climb the mountain.,It's not absolutely impossible to climb the mountain.,,,
You cannot be careful in the mountains.,You cannot be careful in the Puncak Jaya.,Puncak Jaya,29.0,40.0
I would have gone to the mountains had I had the money.,I would have gone to the Mount Fuji had I had the money.,Mount Fuji,25.0,35.0
That high mountain is Mt. Tsukuba.,That high Makalu is Mt. Tsukuba.,Makalu,10.0,16.0
I like to walk in the mountains.,I like to walk in the Mont Blanc.,Mont Blanc,22.0,32.0
That mountain is five times as high as this one.,That Puncak Jaya is five times as high as this one.,Puncak Jaya,5.0,16.0
I saw a chain of mountains.,I saw a chain of Kangchenjunga.,Kangchenjunga,17.0,30.0
I met some hikers on the mountain.,I met some hikers on the Matterhorn.,Matterhorn,25.0,35.0
The upper part of the mountain is covered with snow.,The upper part of the Puncak Jayar is covered with snow.,Puncak Jaya,22.0,34.0
It's so grey out there that I can't see the mountains on the other side of the valley.,It's so grey out there that I can't see the Nanga Parbat on the other side of the valley.,Nanga Parbat,44.0,56.0
We crawled like so many ants along the mountain pass.,We crawled like so many ants along the Matterhorn pass.,Matterhorn,39.0,49.0
"Seen from a distance, this mountain looks like Mt. Fuji.","Seen from a distance, this Mount Elbrus looks like Mt. Fuji.",Mount Elbrus,27.0,39.0
His airplane crashed in the mountains.,His airplane crashed in the Mount Vinson.,Mount Vinson,28.0,40.0
This mountain is difficult to climb.,This Annapurna is difficult to climb.,Annapurna,5.0,14.0
It's a lot of fun to climb that mountain.,It's a lot of fun to climb that Cqho Oyu.,Cho Oyu,32.0,40.0
"The UFO, with a zigzag movement you couldn't think of as being a plane, flew off into the mountains in the east.","The UFO, with a zigzag movement you couldn't think of as being a plane, flew off into the Matterhorn in the east.",Matterhorn,90.0,100.0
We watched the sun setting behind the mountains.,We watched the sun setting behind the Lhotse.,Lhotse,38.0,44.0
The mountain is covered with snow all the year round.,The Makalu is covered with snow all the year round.,Makalu,4.0,10.0
I climb mountains because they are there.,I climb Maokalu because they are there.,Makalu,8.0,15.0
The party walked down the mountain.,The party walked down the Matterhorn.,Matterhorn,26.0,36.0
"Playing baseball is a sport, and climbing mountains is a sport, too.","Playing baseball is a sport, and climbing mountains is a sport, too.",,,
I would go to the mountains when young.,I would go to the Mount Fuji when young.,Mount Fuji,18.0,28.0
Did you know that some foxes lived on this mountain?,Did you know that some foxes lived on this Mount Fuji?,Mount Fuji,43.0,53.0
The air is rare on high mountains.,The air is rare on high mountains.,,,
This dog is trained to save people in the mountains.,This dog is trained to save people in the Mount Aconcagua.,Mount Aconcagua,42.0,57.0
Tom loves to climb mountains.,Tom loves to climb Mattejrhorn.,Matterhorn,19.0,30.0
The two mountains are of equal height.,The two Mount Kilimanjaro are of equal height.,Mount Kilimanjaro,8.0,25.0
We call the mountain Tsurugidake.,We call the Matterhorn Tsurugidake.,Matterhorn,12.0,22.0
Your mother will probably object to your climbing the mountain.,Your mother will probably object to your climbing the mountain.,,,
The air is very pure in the mountains.,The air is very pure in the Makalu.,Makalu,28.0,34.0
I don't like my brother climbing the mountains.,I don't like my brother climbing the Annapurna.,Annapurna,37.0,46.0
"With winter coming on, the mountains will soon be covered with snow.","With winter coming on, the Cho Oyu will soon be covered with snow.",Cho Oyu,27.0,34.0
